Branch of Service,Rank,Functional Branch,Student_ID,Service Component,Commissioning Source
Army,MAJ,Armor,2309051,Reserve,Service Academy
Army,MAJ,Logistics,2309151,National Guard,ROTC
Army,MAJ,Infantry,2309251,Reserve,Service Academy
Army,CPT,Intelligence,2309351,National Guard,Service Academy
Army,MAJ,Finance Corps,2309451,Active,OCS
Army,CPT,Cyber,2309551,Active,OCS
DoD Civilian,GS-13,Contracting,2254151,Civilian ,n/a
Army,MAJ,Intelligence,2309751,Active,ROTC
Army,MAJ,Intelligence,2309851,Active,Service Academy
Army,CPT,Engineer,2309951,Active,ROTC
Army,MAJ,Finance Corps,2310051,Reserve,Service Academy
Army,CPT,Logistics,2310151,National Guard,Service Academy
Army,CPT,Medical Corps,2310251,Reserve,Direct Commission (Medical)
Army,CPT,Engineer,2310351,Reserve,ROTC
Army,MAJ,Finance Corps,2310451,Active,ROTC
Army,CPT,Cyber,2310551,Active,ROTC
Army,CPT,Field Artillery,2310651,Active,OCS
Navy,LCDR,Intelligence,2310751,Active,ROTC
Army,MAJ,Medical Corps,2310851,Active,Direct Commission (Medical)
Army,CPT,Logistics,2310951,Active,ROTC
DoD Civilian,GS-12,Logistics,2257651,Civilian ,n/a
Army,MAJ,Armor,2311151,Active,OCS
Army,MAJ,Armor,2311251,National Guard,OCS
Army,CPT,Armor,2311351,Reserve,OCS
Army,MAJ,Medical Corps,2311451,Active,Direct Commission (Medical)
Army,CPT,Intelligence,2311551,Active,Service Academy
Army,MAJ,Cyber,2311651,Active,ROTC
Army,MAJ,Engineer,2311751,Active,ROTC
Army,MAJ,Armor,2311851,Reserve,ROTC
Army,MAJ,Aviation,2311951,Active,Service Academy
DoD Civilian,GS-12,Medical,2260051,Civilian ,n/a
Army,MAJ,Military Police,2312151,Active,Service Academy
DoD Civilian,GS-12,Cyber Operations,2267751,Civilian ,n/a
Army,MAJ,Field Artillery,2312351,Active,ROTC
Army,CPT,Armor,2312451,Reserve,ROTC
Army,MAJ,Finance Corps,2312551,Active,Service Academy
Army,MAJ,Armor,2312651,Active,ROTC
Army,MAJ,Intelligence,2312751,National Guard,OCS
Air Force,MAJ,Maintenance,2312851,Reserve,Service Academy
DoD Civilian,GS-12,Medical,2276851,Civilian ,n/a
Army,CPT,Medical Corps,2313051,Active,Direct Commission (Medical)
Army,MAJ,Armor,2313151,Active,OCS
Navy,LCDR,Aviation,2313251,Active,ROTC
Army,CPT,Infantry,2313351,Reserve,ROTC
Army,MAJ,Medical Corps,2313451,Active,Direct Commission (Medical)
Army,CPT,Armor,2313551,Active,OCS
Army,CPT,Engineer,2313651,National Guard,ROTC
Army,CPT,Cyber,2313751,Active,ROTC
Army,MAJ,Cyber,2313851,National Guard,ROTC
Army,MAJ,Infantry,2313951,Active,Service Academy
Army,CPT,Aviation,2314051,Active,OCS
Army,MAJ,Armor,2314151,National Guard,ROTC
Army,CPT,Intelligence,2314251,National Guard,OCS
Army,MAJ,Finance Corps,2314351,Reserve,OCS
Army,CPT,Military Police,2314451,Active,OCS
Army,MAJ,Field Artillery,2314551,Active,ROTC
Army,CPT,Military Police,2314651,Active,ROTC
Army,MAJ,Engineer,2314751,Active,Service Academy
Air Force,MAJ,Medical,2314851,Reserve,Direct Commission (Medical)
Army,CPT,Medical Corps,2314951,National Guard,Direct Commission (Medical)
Army,MAJ,Infantry,2315051,Active,ROTC
Army,CPT,Aviation,2315151,Active,ROTC
Army,MAJ,Engineer,2315251,Active,ROTC
Army,MAJ,Armor,2315351,Active,OCS
Army,CPT,Engineer,2315451,Active,Service Academy
Army,CPT,Cyber,2315551,Active,Service Academy
Army,CPT,Armor,2315651,Active,ROTC
DoD Civilian,GS-13,Human Resources,2302351,Civilian ,n/a
DoD Civilian,GS-13,Cyber Operations,2302851,Civilian ,n/a
Army,MAJ,Signal Corps,2315951,Active,ROTC
Army,MAJ,Cyber,2316051,Active,Service Academy
Army,MAJ,Infantry,2316151,Active,OCS
Army,CPT,Logistics,2316251,Reserve,OCS
Army,MAJ,Field Artillery,2316351,Active,Service Academy
Army,MAJ,Field Artillery,2316451,National Guard,Service Academy
Army,CPT,Finance Corps,2316551,Active,Service Academy
Army,CPT,Engineer,2316651,Active,ROTC
Army,CPT,Armor,2316751,National Guard,Service Academy
Army,MAJ,Finance Corps,2316851,Active,OCS
Army,CPT,Finance Corps,2316951,Active,Service Academy
Army,CPT,Field Artillery,2317051,Reserve,OCS
Army,MAJ,Medical Corps,2317151,Active,Direct Commission (Medical)
Army,MAJ,Field Artillery,2317251,National Guard,ROTC
Army,CPT,Armor,2317351,Active,Service Academy
Army,CPT,Infantry,2317451,Active,OCS
Army,CPT,Armor,2317551,Active,ROTC
Army,CPT,Field Artillery,2317651,Active,ROTC
Army,MAJ,Engineer,2317751,Active,ROTC
Army,MAJ,Armor,2317851,Active,ROTC
Army,CPT,Logistics,2317951,National Guard,ROTC
Army,MAJ,Armor,2318051,Active,ROTC
Army,MAJ,Military Police,2318151,Reserve,Service Academy
Army,CPT,Signal Corps,2318251,Active,ROTC
Army,CPT,Infantry,2318351,National Guard,OCS
Army,CPT,Medical Corps,2318451,Active,Direct Commission (Medical)
Army,MAJ,Intelligence,2318551,Active,Service Academy
Army,MAJ,Infantry,2318651,Active,ROTC
Navy,LT,Aviation,2318751,Active,Service Academy
Army,CPT,Engineer,2318851,Active,ROTC
Army,CPT,Armor,2318951,Active,Service Academy
Army,MAJ,Intelligence,2319051,Active,ROTC
Army,MAJ,Medical Corps,2319151,Active,Direct Commission (Medical)
Army,CPT,Infantry,2319251,Active,ROTC
Army,MAJ,Military Police,2319351,Active,ROTC
Army,MAJ,Cyber,2319451,Active,OCS
Army,MAJ,Field Artillery,2319551,Active,ROTC
Army,MAJ,Engineer,2319651,National Guard,Service Academy
Army,CPT,Signal Corps,2319751,Active,OCS
Army,CPT,Field Artillery,2319851,National Guard,ROTC
Army,MAJ,Intelligence,2319951,Active,ROTC
Navy,LT,Medical,2320051,Active,Direct Commission (Medical)
Army,MAJ,Finance Corps,2320151,Active,OCS
Army,MAJ,Military Police,2320251,Active,Service Academy
Army,CPT,Aviation,2320351,Active,ROTC
Army,CPT,Aviation,2320451,Active,OCS
Army,MAJ,Armor,2320551,Active,ROTC
Army,MAJ,Aviation,2320651,Active,ROTC
Army,CPT,Field Artillery,2320751,Reserve,ROTC
Army,MAJ,Logistics,2320851,Reserve,Service Academy
Navy,LCDR,Surface Warfare,2320951,Active,ROTC
DoD Civilian,GS-12,Human Resources,2307451,Civilian ,n/a
Army,CPT,Aviation,2321151,Active,ROTC
Army,CPT,Military Police,2321251,Active,Service Academy
Army,MAJ,Cyber,2321351,Active,ROTC
Army,MAJ,Logistics,2321451,Reserve,OCS
Air Force,CPT,Cyber Operations,2321551,National Guard,ROTC
Army,MAJ,Cyber,2321651,Reserve,OCS
Air Force,MAJ,Maintenance,2321751,Active,OCS
Army,CPT,Signal Corps,2321851,Active,Service Academy
Army,CPT,Logistics,2321951,Active,ROTC
Air Force,MAJ,Medical,2322051,Active,Direct Commission (Medical)
Army,MAJ,Infantry,2322151,Active,OCS
Army,CPT,Signal Corps,2322251,Active,Service Academy
Army,MAJ,Finance Corps,2322351,Active,ROTC
Space Force,MAJ,Cyber Operations,2322451,Active,ROTC
Army,CPT,Signal Corps,2322551,Active,OCS
Army,CPT,Military Police,2322651,Active,OCS
Army,MAJ,Engineer,2322751,Active,ROTC
Army,CPT,Engineer,2322851,Active,OCS
Army,MAJ,Military Police,2322951,Active,OCS
Army,CPT,Armor,2323051,Active,OCS
Army,CPT,Engineer,2323151,National Guard,ROTC
Army,CPT,Signal Corps,2323251,Active,ROTC
Army,CPT,Finance Corps,2323351,Active,ROTC
Army,MAJ,Armor,2323451,Active,ROTC
Army,CPT,Armor,2323551,Active,ROTC
Army,MAJ,Armor,2323651,Active,OCS
Army,MAJ,Medical Corps,2323751,Active,Direct Commission (Medical)
Army,MAJ,Signal Corps,2323851,National Guard,Service Academy
Army,MAJ,Cyber,2323951,Active,OCS
Army,CPT,Finance Corps,2324051,Active,OCS
Army,CPT,Armor,2324151,National Guard,ROTC
Army,CPT,Signal Corps,2324251,Active,ROTC
Army,CPT,Medical Corps,2324351,Active,Direct Commission (Medical)
Army,MAJ,Intelligence,2324451,Reserve,ROTC
DoD Civilian,GS-12,Cyber Operations,2308651,Civilian ,n/a
Army,MAJ,Signal Corps,2324651,Reserve,ROTC
Army,MAJ,Medical Corps,2324751,Active,Direct Commission (Medical)
Army,MAJ,Infantry,2324851,Active,OCS
Army,CPT,Infantry,2324951,Active,Service Academy
Army,CPT,Logistics,2325051,Active,Service Academy
Army,MAJ,Engineer,2325151,Reserve,OCS
Army,CPT,Logistics,2325251,National Guard,Service Academy
Army,MAJ,Logistics,2325351,National Guard,OCS
Army,MAJ,Field Artillery,2325451,Active,OCS
Army,MAJ,Finance Corps,2325551,Active,ROTC
Army,CPT,Infantry,2325651,Active,Service Academy
Army,CPT,Signal Corps,2325751,Active,OCS
Army,MAJ,Finance Corps,2325851,Reserve,ROTC
Army,MAJ,Military Police,2325951,Active,ROTC
Army,MAJ,Armor,2326051,National Guard,ROTC
Air Force,CPT,Intelligence,2326151,Active,Service Academy
Army,MAJ,Field Artillery,2326251,Active,OCS
DoD Civilian,GS-13,Medical,2309651,Civilian ,n/a
Army,MAJ,Logistics,2326451,Active,OCS
Army,MAJ,Armor,2326551,Active,OCS
Marines,MAJ,Aviation,2326651,Reserve,OCS
Army,CPT,Finance Corps,2326751,Active,ROTC
Army,CPT,Medical Corps,2326851,Active,Direct Commission (Medical)
Army,CPT,Cyber,2326951,Active,ROTC
Army,MAJ,Cyber,2327051,Active,Service Academy
Army,MAJ,Cyber,2327151,Active,ROTC
Army,CPT,Finance Corps,2327251,Active,ROTC
Army,CPT,Finance Corps,2327351,National Guard,Service Academy
Marines,CPT,Aviation,2327451,Active,Service Academy
Army,MAJ,Finance Corps,2327551,Active,ROTC
Army,MAJ,Signal Corps,2327651,Active,ROTC
Army,MAJ,Infantry,2327751,National Guard,ROTC
Army,MAJ,Engineer,2327851,Active,Service Academy
Marines,CPT,Infantry,2327951,Active,OCS
Army,MAJ,Signal Corps,2328051,National Guard,ROTC
Army,CPT,Military Police,2328151,National Guard,ROTC
DoD Civilian,GS-12,Medical,2311051,Civilian ,n/a
Air Force,MAJ,Pilot,2328351,National Guard,OCS
Army,MAJ,Finance Corps,2328451,Active,ROTC
Army,CPT,Infantry,2328551,Active,Service Academy
Army,CPT,Military Police,2328651,Active,Service Academy
Army,CPT,Aviation,2328751,Active,OCS
Army,CPT,Signal Corps,2328851,Active,Service Academy
Army,MAJ,Medical Corps,2328951,Active,Direct Commission (Medical)
Army,MAJ,Finance Corps,2329051,Active,ROTC
Army,CPT,Military Police,2329151,National Guard,OCS
Army,CPT,Finance Corps,2329251,Active,Service Academy
Air Force,MAJ,Maintenance,2329351,Active,ROTC
Army,MAJ,Military Police,2329451,Active,ROTC
Army,MAJ,Logistics,2329551,Active,ROTC
Army,CPT,Medical Corps,2329651,Active,Direct Commission (Medical)
Army,MAJ,Engineer,2329751,Active,Service Academy
Navy,LT,Medical,2329851,Reserve,Direct Commission (Medical)
Army,MAJ,Finance Corps,2329951,Active,Service Academy
Army,MAJ,Engineer,2330051,National Guard,Service Academy
Army,CPT,Military Police,2330151,Active,ROTC
Army,MAJ,Armor,2330251,Active,ROTC
Army,MAJ,Signal Corps,2330351,National Guard,Service Academy
Army,CPT,Armor,2330451,Active,OCS
Army,CPT,Medical Corps,2330551,Active,Direct Commission (Medical)
Army,MAJ,Armor,2330651,Active,ROTC
Army,CPT,Intelligence,2330751,Active,OCS
Army,MAJ,Engineer,2330851,Active,OCS
Navy,LCDR,Intelligence,2330951,Active,ROTC
Army,CPT,Logistics,2331051,Active,ROTC
Army,MAJ,Finance Corps,2331151,National Guard,ROTC
Air Force,CPT,Intelligence,2331251,Active,ROTC
Army,CPT,Finance Corps,2331351,Active,OCS
Army,CPT,Signal Corps,2331451,National Guard,ROTC
Army,CPT,Cyber,2331551,Active,OCS
Army,CPT,Engineer,2331651,Active,ROTC
Army,MAJ,Cyber,2331751,National Guard,OCS
Air Force,CPT,Maintenance,2331851,Active,ROTC
Army,CPT,Signal Corps,2331951,Active,OCS
Army,CPT,Infantry,2332051,Active,Service Academy
Army,CPT,Infantry,2332151,Active,OCS
Army,MAJ,Armor,2332251,Active,Service Academy
Army,MAJ,Field Artillery,2332351,Active,Service Academy
Army,MAJ,Logistics,2332451,Active,OCS
Army,MAJ,Aviation,2332551,Active,OCS
Army,MAJ,Engineer,2332651,Reserve,OCS
Army,CPT,Field Artillery,2332751,Active,ROTC
Army,MAJ,Signal Corps,2332851,National Guard,OCS
Army,MAJ,Signal Corps,2332951,Active,ROTC
Army,MAJ,Military Police,2333051,Active,Service Academy
Army,MAJ,Medical Corps,2333151,Active,Direct Commission (Medical)
Army,CPT,Armor,2333251,Active,OCS
Army,MAJ,Armor,2333351,Active,ROTC
Army,CPT,Signal Corps,2333451,Active,ROTC
Army,MAJ,Field Artillery,2333551,Active,Service Academy
Army,MAJ,Medical Corps,2333651,Reserve,Direct Commission (Medical)
Army,CPT,Infantry,2333751,Active,ROTC
Army,MAJ,Cyber,2333851,Active,ROTC
Army,CPT,Signal Corps,2333951,National Guard,ROTC
Army,MAJ,Cyber,2334051,National Guard,OCS
Army,MAJ,Military Police,2334151,Active,ROTC
Air Force,MAJ,Maintenance,2334251,National Guard,ROTC
Army,CPT,Signal Corps,2334351,Active,OCS
Army,CPT,Infantry,2334451,Active,OCS
Army,MAJ,Finance Corps,2334551,Active,OCS
DoD Civilian,GS-12,Cyber Operations,2312051,Civilian ,n/a
Marines,CPT,Infantry,2334751,Reserve,ROTC
Army,CPT,Infantry,2334851,National Guard,ROTC
Army,MAJ,Medical Corps,2334951,Active,Direct Commission (Medical)
Army,MAJ,Medical Corps,2335051,Active,Direct Commission (Medical)
Army,CPT,Armor,2335151,Active,OCS
Army,CPT,Medical Corps,2335251,Active,Direct Commission (Medical)
Air Force,MAJ,Intelligence,2335351,Active,ROTC
Army,MAJ,Field Artillery,2335451,Active,Service Academy
Army,MAJ,Infantry,2335551,Active,Service Academy
Army,MAJ,Armor,2335651,Active,Service Academy
DoD Civilian,GS-12,Medical,2312251,Civilian ,n/a
Army,MAJ,Medical Corps,2335851,Active,Direct Commission (Medical)
Army,MAJ,Military Police,2335951,Active,OCS
Army,CPT,Logistics,2336051,National Guard,Service Academy
Army,MAJ,Finance Corps,2336151,Active,ROTC
Army,CPT,Field Artillery,2336251,Active,OCS
Army,CPT,Armor,2336351,Active,ROTC
Army,CPT,Cyber,2336451,National Guard,ROTC
Marines,CPT,Infantry,2336551,Active,ROTC
Army,CPT,Cyber,2336651,National Guard,ROTC
Army,CPT,Medical Corps,2336751,National Guard,Direct Commission (Medical)
Army,CPT,Cyber,2336851,Active,ROTC
Army,MAJ,Field Artillery,2336951,Active,ROTC
Army,CPT,Infantry,2337051,Active,ROTC
Army,CPT,Finance Corps,2337151,Active,OCS
Army,MAJ,Signal Corps,2337251,Reserve,OCS
Army,CPT,Intelligence,2337351,Active,ROTC
Army,CPT,Logistics,2337451,Active,OCS
Army,CPT,Intelligence,2337551,Reserve,Service Academy
Army,MAJ,Finance Corps,2337651,Active,Service Academy
Army,MAJ,Military Police,2337751,National Guard,Service Academy
Army,MAJ,Aviation,2337851,National Guard,OCS
Marines,CPT,Aviation,2337951,Reserve,ROTC
Army,CPT,Logistics,2338051,Active,OCS
Army,MAJ,Signal Corps,2338151,Reserve,OCS
Army,CPT,Field Artillery,2338251,Active,ROTC
Army,MAJ,Military Police,2338351,Reserve,ROTC
DoD Civilian,GS-12,Cyber Operations,2315751,Civilian ,n/a
Army,MAJ,Cyber,2338551,Active,OCS
Army,MAJ,Armor,2338651,Reserve,Service Academy
Army,CPT,Medical Corps,2338751,Active,Direct Commission (Medical)
Army,MAJ,Armor,2338851,Active,Service Academy
Army,CPT,Intelligence,2338951,National Guard,ROTC
Army,CPT,Medical Corps,2339051,Active,Direct Commission (Medical)
Army,MAJ,Logistics,2339151,Active,OCS
Army,MAJ,Cyber,2339251,National Guard,ROTC
Army,MAJ,Logistics,2339351,Reserve,Service Academy
Army,MAJ,Field Artillery,2339451,National Guard,Service Academy
Army,CPT,Aviation,2339551,Active,ROTC
Army,MAJ,Infantry,2339651,Active,OCS
Army,MAJ,Medical Corps,2339751,Active,Direct Commission (Medical)
Army,CPT,Cyber,2339851,National Guard,OCS
Navy,LT,Intelligence,2339951,Active,Service Academy
Army,CPT,Field Artillery,2340051,Active,OCS
Army,CPT,Field Artillery,2340151,National Guard,ROTC
Army,CPT,Cyber,2340251,Active,ROTC
Army,CPT,Field Artillery,2340351,Active,ROTC
Army,CPT,Armor,2340451,Active,OCS
Army,CPT,Armor,2340551,Active,ROTC
Army,CPT,Cyber,2340651,Active,Service Academy
Army,MAJ,Military Police,2340751,Active,OCS
Army,MAJ,Infantry,2340851,Reserve,ROTC
Army,CPT,Medical Corps,2340951,Active,Direct Commission (Medical)
Army,CPT,Engineer,2341051,Active,OCS
Army,MAJ,Signal Corps,2341151,Active,Service Academy
Army,MAJ,Military Police,2341251,Active,Service Academy
Army,MAJ,Medical Corps,2341351,Active,Direct Commission (Medical)
Army,MAJ,Logistics,2341451,National Guard,Service Academy
Space Force,CPT,Intelligence,2341551,Active,OCS
Army,CPT,Signal Corps,2341651,Active,Service Academy
Army,CPT,Aviation,2341751,Active,ROTC
Army,CPT,Finance Corps,2341851,National Guard,ROTC
Army,CPT,Military Police,2341951,Active,Service Academy
Army,MAJ,Armor,2342051,National Guard,Service Academy
Air Force,MAJ,Intelligence,2342151,Active,Service Academy
Army,MAJ,Armor,2342251,National Guard,OCS
Army,MAJ,Logistics,2342351,Active,OCS
Navy,LT,Aviation,2342451,Active,ROTC
Army,CPT,Signal Corps,2342551,Active,ROTC
Army,CPT,Intelligence,2342651,Active,ROTC
Army,MAJ,Aviation,2342751,Active,Service Academy
Army,CPT,Cyber,2342851,Active,OCS
Army,CPT,Field Artillery,2342951,Active,ROTC
Army,CPT,Armor,2343051,Active,ROTC
Army,MAJ,Intelligence,2343151,National Guard,OCS
Army,CPT,Armor,2343251,Active,ROTC
Army,MAJ,Infantry,2343351,Active,OCS
Army,CPT,Military Police,2343451,Active,ROTC
Navy,LT,Intelligence,2343551,Active,ROTC
Army,MAJ,Finance Corps,2343651,Active,OCS
Air Force,MAJ,Cyber Operations,2343751,Active,Service Academy
Army,CPT,Engineer,2343851,Active,OCS
Army,CPT,Military Police,2343951,Reserve,OCS
Army,MAJ,Engineer,2344051,Active,ROTC
Army,CPT,Field Artillery,2344151,Active,OCS
Army,CPT,Field Artillery,2344251,Active,ROTC
Army,CPT,Field Artillery,2344351,Active,Service Academy
DoD Civilian,GS-12,Logistics,2315851,Civilian ,n/a
Army,CPT,Infantry,2344551,Reserve,ROTC
Army,MAJ,Logistics,2344651,National Guard,ROTC
Army,MAJ,Engineer,2344751,Reserve,ROTC
Army,CPT,Logistics,2344851,Reserve,Service Academy
Army,MAJ,Logistics,2344951,National Guard,OCS
Army,MAJ,Intelligence,2345051,Active,ROTC
Army,MAJ,Finance Corps,2345151,Reserve,ROTC
Army,MAJ,Cyber,2345251,Active,ROTC
Space Force,MAJ,Cyber Operations,2345351,Active,ROTC
Army,MAJ,Armor,2345451,Active,Service Academy
Air Force,MAJ,Pilot,2345551,National Guard,ROTC
Army,MAJ,Armor,2345651,National Guard,OCS
Army,MAJ,Logistics,2345751,Active,Service Academy
Army,CPT,Intelligence,2345851,Active,ROTC
Army,MAJ,Cyber,2345951,National Guard,OCS
Army,CPT,Finance Corps,2346051,National Guard,Service Academy
Space Force,CPT,Space Operations,2346151,Active,Service Academy
Army,MAJ,Finance Corps,2346251,Active,OCS
Army,CPT,Signal Corps,2346351,Active,OCS
Army,MAJ,Armor,2346451,Active,Service Academy
Army,MAJ,Military Police,2346551,Reserve,OCS
Army,CPT,Field Artillery,2346651,Active,ROTC
Army,CPT,Intelligence,2346751,Active,ROTC
Army,MAJ,Finance Corps,2346851,Reserve,ROTC
Navy,LCDR,Submarine,2346951,Active,ROTC
Army,CPT,Aviation,2347051,Active,Service Academy
Army,MAJ,Logistics,2347151,Active,OCS
Navy,LCDR,Intelligence,2347251,Reserve,OCS
Army,CPT,Armor,2347351,Active,OCS
Army,MAJ,Aviation,2347451,Active,ROTC
Army,MAJ,Military Police,2347551,Active,ROTC
Army,MAJ,Armor,2347651,Reserve,ROTC
Army,CPT,Field Artillery,2347751,Active,OCS
Army,MAJ,Signal Corps,2347851,National Guard,OCS
Army,CPT,Finance Corps,2347951,Reserve,Service Academy
Army,MAJ,Field Artillery,2348051,Active,ROTC
Army,MAJ,Armor,2348151,Active,ROTC
Army,CPT,Field Artillery,2348251,Active,Service Academy
Army,MAJ,Logistics,2348351,National Guard,OCS
Army,MAJ,Armor,2348451,National Guard,ROTC
Army,MAJ,Signal Corps,2348551,Active,OCS
Army,MAJ,Logistics,2348651,Active,OCS
Army,CPT,Medical Corps,2348751,Active,Direct Commission (Medical)
Army,MAJ,Finance Corps,2348851,Active,ROTC
Army,CPT,Finance Corps,2348951,National Guard,Service Academy
Army,MAJ,Engineer,2349051,Active,ROTC
Army,MAJ,Finance Corps,2349151,Active,Service Academy
Army,CPT,Engineer,2349251,Active,OCS
Army,MAJ,Armor,2349351,Active,ROTC
Army,CPT,Cyber,2349451,Active,Service Academy
Army,MAJ,Intelligence,2349551,Active,OCS
Army,CPT,Armor,2349651,Active,OCS
Army,MAJ,Infantry,2349751,Active,ROTC
Air Force,CPT,Maintenance,2349851,Active,Service Academy
Army,MAJ,Engineer,2349951,National Guard,Service Academy
Navy,LCDR,Surface Warfare,2350051,Active,OCS
Army,CPT,Infantry,2350151,Active,OCS
Army,MAJ,Field Artillery,2350251,National Guard,Service Academy
Army,CPT,Medical Corps,2350351,Active,Direct Commission (Medical)
Army,CPT,Intelligence,2350451,Active,OCS
Army,MAJ,Intelligence,2350551,National Guard,ROTC
DoD Civilian,GS-13,Medical,2321051,Civilian ,n/a
Army,CPT,Medical Corps,2350751,Active,Direct Commission (Medical)
Army,MAJ,Engineer,2350851,Active,OCS
Army,MAJ,Engineer,2350951,Reserve,ROTC
Army,MAJ,Medical Corps,2351051,National Guard,Direct Commission (Medical)
Army,MAJ,Finance Corps,2351151,Active,Service Academy
Army,MAJ,Aviation,2351251,Active,Service Academy
Air Force,CPT,Maintenance,2351351,Active,ROTC
Army,MAJ,Military Police,2351451,Active,ROTC
Army,CPT,Intelligence,2351551,Active,OCS
Army,CPT,Field Artillery,2351651,Active,OCS
Space Force,MAJ,Space Operations,2351751,National Guard,ROTC
Army,CPT,Medical Corps,2351851,Active,Direct Commission (Medical)
Army,MAJ,Logistics,2351951,Active,ROTC
Army,MAJ,Military Police,2352051,Active,ROTC
Army,MAJ,Medical Corps,2352151,Active,Direct Commission (Medical)
Army,CPT,Intelligence,2352251,National Guard,ROTC
Army,MAJ,Armor,2352351,Active,ROTC
Army,MAJ,Engineer,2352451,National Guard,ROTC
Army,CPT,Intelligence,2352551,Active,Service Academy
Army,CPT,Engineer,2352651,Active,Service Academy
Army,MAJ,Signal Corps,2352751,Active,ROTC
Army,CPT,Military Police,2352851,Active,ROTC
Army,CPT,Infantry,2352951,Active,Service Academy
Air Force,CPT,Maintenance,2353051,National Guard,OCS
Army,CPT,Signal Corps,2353151,Active,OCS
Army,MAJ,Medical Corps,2353251,Active,Direct Commission (Medical)
Army,CPT,Infantry,2353351,Reserve,ROTC
Army,CPT,Engineer,2353451,Active,ROTC
Army,CPT,Military Police,2353551,National Guard,OCS
Army,MAJ,Finance Corps,2353651,National Guard,Service Academy
Army,CPT,Aviation,2353751,Reserve,ROTC
Army,MAJ,Infantry,2353851,Active,Service Academy
Army,CPT,Engineer,2353951,Active,Service Academy
Army,CPT,Logistics,2354051,National Guard,ROTC
Army,MAJ,Signal Corps,2354151,Active,Service Academy
Navy,LCDR,Surface Warfare,2354251,Active,OCS
Army,MAJ,Intelligence,2354351,Active,OCS
Marines,CPT,Logistics,2354451,Active,OCS
Army,MAJ,Field Artillery,2354551,Active,ROTC
Army,MAJ,Intelligence,2354651,National Guard,ROTC
Army,CPT,Armor,2354751,Active,OCS
Air Force,CPT,Pilot,2354851,National Guard,ROTC
Army,MAJ,Field Artillery,2354951,National Guard,ROTC
Army,CPT,Armor,2355051,Active,OCS
Army,CPT,Cyber,2355151,Active,OCS
Army,MAJ,Medical Corps,2355251,Active,Direct Commission (Medical)
Army,CPT,Field Artillery,2355351,Active,ROTC
Army,CPT,Infantry,2355451,Active,OCS
Army,CPT,Infantry,2355551,Active,OCS
Marines,MAJ,Aviation,2355651,Active,ROTC
Army,CPT,Finance Corps,2355751,National Guard,ROTC
Army,CPT,Cyber,2355851,Reserve,ROTC
Army,CPT,Signal Corps,2355951,Active,ROTC
Army,CPT,Armor,2356051,Reserve,ROTC
Army,MAJ,Field Artillery,2356151,Active,Service Academy
DoD Civilian,GS-13,Medical,2326351,Civilian ,n/a
Army,MAJ,Engineer,2356351,Active,ROTC
Army,MAJ,Cyber,2356451,Active,OCS
Air Force,CPT,Maintenance,2356551,Active,ROTC
DoD Civilian,GS-13,Cyber Operations,2328251,Civilian ,n/a
Marines,CPT,Infantry,2356751,Active,ROTC
Army,MAJ,Military Police,2356851,Active,Service Academy
Army,MAJ,Intelligence,2356951,Active,ROTC
Army,CPT,Field Artillery,2357051,Active,ROTC
Army,MAJ,Finance Corps,2357151,Active,OCS
Army,MAJ,Finance Corps,2357251,National Guard,Service Academy
Army,MAJ,Aviation,2357351,Active,Service Academy
Army,CPT,Finance Corps,2357451,National Guard,Service Academy
Army,MAJ,Field Artillery,2357551,Active,ROTC
Army,CPT,Engineer,2357651,Reserve,Service Academy
Army,MAJ,Aviation,2357751,Active,OCS
Army,CPT,Armor,2357851,Active,ROTC
Army,CPT,Signal Corps,2357951,Active,OCS
Army,CPT,Field Artillery,2358051,Reserve,ROTC
Army,MAJ,Military Police,2358151,National Guard,OCS
Army,CPT,Military Police,2358251,Active,Service Academy
Army,MAJ,Infantry,2358351,National Guard,Service Academy
Air Force,MAJ,Medical,2358451,National Guard,Direct Commission (Medical)
Navy,LT,Submarine,2358551,Reserve,ROTC
Marines,CPT,Artillery,2358651,Active,OCS
Army,CPT,Armor,2358751,Active,Service Academy
Army,CPT,Field Artillery,2358851,Active,Service Academy
Army,CPT,Military Police,2358951,National Guard,ROTC
Army,MAJ,Military Police,2359051,Reserve,Service Academy
Army,MAJ,Military Police,2359151,National Guard,ROTC
Army,CPT,Armor,2359251,National Guard,ROTC
Army,CPT,Cyber,2359351,Active,ROTC
Army,MAJ,Infantry,2359451,Active,ROTC
Army,CPT,Field Artillery,2359551,Active,ROTC
Army,CPT,Military Police,2359651,Active,OCS
Army,MAJ,Field Artillery,2359751,Reserve,OCS
Army,CPT,Engineer,2359851,Reserve,Service Academy
DoD Civilian,GS-12,Logistics,2334651,Civilian ,n/a
Navy,LT,Medical,2360051,Reserve,Direct Commission (Medical)
Navy,LCDR,Medical,2360151,Active,Direct Commission (Medical)
Army,CPT,Aviation,2360251,Active,OCS
Army,MAJ,Armor,2360351,Active,ROTC
Army,CPT,Field Artillery,2360451,Active,OCS
Army,MAJ,Engineer,2360551,Active,OCS
Marines,MAJ,Aviation,2360651,Active,Service Academy
Army,MAJ,Infantry,2360751,National Guard,ROTC
Army,CPT,Military Police,2360851,Active,ROTC
Army,CPT,Logistics,2360951,Reserve,ROTC
Army,MAJ,Cyber,2361051,Active,OCS
DoD Civilian,GS-12,Medical,2335751,Civilian ,n/a
Army,CPT,Finance Corps,2361251,Active,Service Academy
